date,gw_shallow,gw_deep
1989-09-27,4.32895799,0
1989-09-28,4.32895799,0
1989-09-29,4.32895799,0
1989-09-30,4.32895799,0
1989-10-01,4.32895799,0
1989-10-02,4.32895799,0
1989-10-03,4.32895799,0
1989-10-04,4.32895799,0
1989-10-05,4.32895799,0
1989-10-06,4.32895799,0
1989-10-07,4.32895799,0
1989-10-08,4.32895799,0
1989-10-09,4.32895799,0
1989-10-10,4.32895799,0
1989-10-11,4.32895799,0
1989-10-12,4.32895799,0
1989-10-13,4.32895799,0
1989-10-14,4.32895799,0
1989-10-15,4.32895799,0
1989-10-16,4.32895799,0
1989-10-17,4.32895799,0
1989-10-18,4.32895799,0
1989-10-19,4.32895799,0
1989-10-20,4.32895799,0
1989-10-21,4.32895799,0
1989-10-22,4.32895799,0
1989-10-23,4.32895799,0
1989-10-24,4.32895799,0
1989-10-25,4.32895799,0
1989-10-26,4.32895799,0
1989-10-27,4.32895799,0
1989-10-28,4.32895799,0
1989-10-29,4.32895799,0
1989-10-30,4.32895799,0
1989-10-31,4.32895799,0
1989-11-01,4.32895799,0
1989-11-02,4.32895799,0
1989-11-03,4.32895799,0
1989-11-04,4.32895799,0
1989-11-05,4.32895799,0
1989-11-06,4.32895799,0
1989-11-07,4.32895799,0
1989-11-08,4.32895799,0
1989-11-09,4.32895799,0
1989-11-10,4.32895799,0
1989-11-11,4.32895799,0
1989-11-12,4.32895799,0
1989-11-13,4.32895799,0
1989-11-14,4.32895799,0
1989-11-15,4.32895799,0
1989-11-16,4.32895799,0
1989-11-17,4.32895799,0
1989-11-18,4.32895799,0
1989-11-19,4.32895799,0
1989-11-20,4.32895799,0
1989-11-21,4.32895799,0
1989-11-22,4.32895799,0
1989-11-23,4.32895799,0
1989-11-24,4.32895799,0
1989-11-25,4.32895799,0
1989-11-26,4.32895799,0
1989-11-27,4.32895799,0
1989-11-28,4.32895799,0
1989-11-29,4.32895799,0
1989-11-30,4.32895799,0
1989-12-01,4.32895799,0
1989-12-02,4.32895799,0
1989-12-03,4.32895799,0
1989-12-04,4.32895799,0
1989-12-05,4.32895799,0
1989-12-06,4.32895799,0
1989-12-07,4.32895799,0
1989-12-08,4.32895799,0
1989-12-09,4.32895799,0
1989-12-10,4.32895799,0
1989-12-11,4.32895799,0
1989-12-12,4.32895799,0
1989-12-13,4.32895799,0
1989-12-14,4.32895799,0
1989-12-15,4.32895799,0
1989-12-16,4.32895799,0
1989-12-17,4.32895799,0
1989-12-18,4.32895799,0
1989-12-19,4.32895799,0
1989-12-20,4.32895799,0
1989-12-21,4.32895799,0
1989-12-22,4.32895799,0
1989-12-23,4.32895799,0
1989-12-24,4.32895799,0
1989-12-25,4.32895799,0
1989-12-26,4.32895799,0
1989-12-27,4.32895799,0
1989-12-28,4.32895799,0
1989-12-29,4.32895799,0
1989-12-30,4.32895799,0
1989-12-31,4.32895799,0
