"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 30/09/2006,       9.855,    100
00:00:00 01/10/2006,       9.878,    100
00:00:00 02/10/2006,       9.898,    100
00:00:00 03/10/2006,       9.923,    100
00:00:00 04/10/2006,       9.952,    100
00:00:00 05/10/2006,       9.985,    100
00:00:00 06/10/2006,      10.007,    100
00:00:00 07/10/2006,      10.036,    100
00:00:00 08/10/2006,      10.039,    100
00:00:00 09/10/2006,      10.068,    100
00:00:00 10/10/2006,      10.092,    100
00:00:00 11/10/2006,      10.105,    100
00:00:00 12/10/2006,      10.120,    100
00:00:00 13/10/2006,      10.138,    100
00:00:00 14/10/2006,      10.165,    100
00:00:00 15/10/2006,      10.191,    100
00:00:00 16/10/2006,      10.241,    100
00:00:00 17/10/2006,      10.280,    100
00:00:00 18/10/2006,      10.294,    100
00:00:00 19/10/2006,      10.307,    100
00:00:00 20/10/2006,      10.318,    100
00:00:00 21/10/2006,      10.322,    100
00:00:00 22/10/2006,      10.328,    100
00:00:00 23/10/2006,      10.323,    100
00:00:00 24/10/2006,      10.312,    100
00:00:00 25/10/2006,      10.302,    100
00:00:00 26/10/2006,      10.308,    100
00:00:00 27/10/2006,      10.304,    100
00:00:00 28/10/2006,      10.317,    100
00:00:00 29/10/2006,      10.339,    100
00:00:00 30/10/2006,      10.357,    100
00:00:00 31/10/2006,      10.354,    100
00:00:00 01/11/2006,      10.417,    100
00:00:00 02/11/2006,      10.587,    100
00:00:00 03/11/2006,      10.367,    100
00:00:00 04/11/2006,      10.345,    100
00:00:00 05/11/2006,      10.328,    100
00:00:00 06/11/2006,      10.330,    100
00:00:00 07/11/2006,      10.325,    100
00:00:00 08/11/2006,      10.326,    100
00:00:00 09/11/2006,      10.341,    100
00:00:00 10/11/2006,      10.340,    100
00:00:00 11/11/2006,      10.338,    100
00:00:00 12/11/2006,      10.340,    100
00:00:00 13/11/2006,      10.339,    100
00:00:00 14/11/2006,      10.362,    100
00:00:00 15/11/2006,      10.341,    100
00:00:00 16/11/2006,      10.387,    100
00:00:00 17/11/2006,      10.413,    100
00:00:00 18/11/2006,      10.420,    100
00:00:00 19/11/2006,      10.412,    100
00:00:00 20/11/2006,      10.405,    100
00:00:00 21/11/2006,      10.414,    100
00:00:00 22/11/2006,      10.443,    100
00:00:00 23/11/2006,      10.466,    100
00:00:00 24/11/2006,      10.481,    100
00:00:00 25/11/2006,      10.500,    100
00:00:00 26/11/2006,      10.519,    100
00:00:00 27/11/2006,      10.658,    100
00:00:00 28/11/2006,      10.880,    100
00:00:00 29/11/2006,      10.918,    100
00:00:00 30/11/2006,      10.958,    100
00:00:00 01/12/2006,      10.985,    100
00:00:00 02/12/2006,      11.017,    100
00:00:00 03/12/2006,      10.810,    100
00:00:00 04/12/2006,      10.926,    100
00:00:00 05/12/2006,      11.082,    100
00:00:00 06/12/2006,      10.880,    100
00:00:00 07/12/2006,      10.855,    100
00:00:00 08/12/2006,      10.854,    100
00:00:00 09/12/2006,      10.868,    100
00:00:00 10/12/2006,      10.874,    100
00:00:00 11/12/2006,      10.869,    100
00:00:00 12/12/2006,      10.882,    100
00:00:00 13/12/2006,      10.887,    100
00:00:00 14/12/2006,      10.890,    100
00:00:00 15/12/2006,      10.904,    100
00:00:00 16/12/2006,      10.916,    100
00:00:00 17/12/2006,      10.946,    100
00:00:00 18/12/2006,      10.949,    100
00:00:00 19/12/2006,      10.957,    100
00:00:00 20/12/2006,      10.979,    100
00:00:00 21/12/2006,      11.002,    100
00:00:00 22/12/2006,      11.005,    100
