Index,U.sw_419051,C.sw_419051,E.sw_419051,Q.sw_419051,Qq.sw_419051,Qs.sw_419051,Qd.sw_419051,G.gw_shallow,G.gw_deep,Uq.sw_419051,Us.sw_419051,Ud.sw_419051,R.gw_shallow,R.gw_deep,Gf.GwFlow,swE.sw_419051,S.gw_shallow,S.gw_deep,Glevel.gw_shallow.GW030130_1,Glevel.gw_shallow.GW030131_1,Glevel.gw_shallow.GW030132_2,Glevel.gw_shallow.GW036186_1,Glevel.gw_shallow.GW036187_1,Glevel.gw_deep.GW030129_1,Glevel.gw_deep.GW030130_2,Glevel.gw_deep.GW030133_1,Glevel.gw_deep.GW030134_1
2006-05-03,0,396296.459967666,1166.3228879245,12.8563775597,3.31528356615532E-010,0,12.8563775594,3748.8693673908,0,0,0,0,-0.2406617351,0,0,0,-483.5534628827,-175047.659349999,-4.9747151242,-5.0715219478,-5.5733200685,-8.0315902181,-7.1847717493,0,0,0,0
2006-05-04,0,397556.030121201,1259.5701535356,12.8068046268,2.16677133466308E-010,0,12.8068046266,3734.4140942463,0,0,0,0,-1.6484685179,0,0,0,-498.130475655,-175060.466154626,-4.9760685618,-5.0731320737,-5.5758113864,-8.0394653737,-7.1900123424,0,0,0,0
2006-05-05,0,398823.84205268,1267.8119314787,12.7529649918,1.41613769170346E-010,0,12.7529649917,3718.714667464,0,0,0,0,-2.9464617906,0,0,0,-513.9516420649,-175073.219119617,-4.9775384887,-5.0748807818,-5.57851713,-8.0480183377,-7.1957039892,0,0,0,0
2006-05-06,0,400056.010861753,1232.1688090733,12.6952705777,9.25545732390374E-011,0,12.6952705776,3701.891202184,0,0,0,0,-4.1281947024,0,0,0,-530.8968469726,-175085.914390195,-4.9791136585,-5.076754693,-5.5814165979,-8.0571836718,-7.2018031431,0,0,0,0
2006-05-07,0,401366.695581787,1310.6847200334,12.634133613,6.04909330331851E-011,0,12.634133613,3684.0639026254,0,0,0,0,-5.1931659456,0,0,0,-548.8458861588,-175098.548523808,-4.9807828167,-5.078740418,-5.5844890732,-8.0668958895,-7.2082662257,0,0,0,0
2006-05-08,0,402278.003785578,911.3082037916,12.5699529535,3.95350856383393E-011,0,12.5699529535,3665.3490735702,0,0,0,0,-6.1448761018,0,0,0,-567.6824548418,-175111.118476761,-4.9825350737,-5.080825002,-5.5877145113,-8.0770916285,-7.2150510718,0,0,0,0
2006-05-09,0,403286.244215315,1008.2404297368,12.503105353,2.58389632636903E-011,0,12.5031053529,3645.8565749425,0,0,0,0,-6.9893932748,0,0,0,-587.2966930972,-175123.621582114,-4.9843601433,-5.0829962081,-5.5910739781,-8.0877110378,-7.2221178532,0,0,0,0
2006-05-10,0,404372.446956588,1086.2027412725,12.4339403381,1.68875825551489E-011,0,12.4339403381,3625.6883273633,0,0,0,0,-7.7343072411,0,0,0,-607.586680304,-175136.055522452,-4.9862484829,-5.0852426836,-5.594549908,-8.0986985914,-7.2294296195,0,0,0,0
2006-05-11,0,405558.798101167,1186.3511445798,12.3627776678,1.10372247387235E-011,0,12.3627776678,3604.9375712995,0,0,0,0,-8.387978396,0,0,0,-628.4591759956,-175148.41830012,-4.9881913624,-5.087554043,-5.5981262313,-8.1100034926,-7.2369525676,0,0,0,0
2006-05-12,0,406748.384832666,1189.5867314987,12.2899066086,7.21360381423849E-012,0,12.2899066086,3583.688655705,0,0,0,0,-8.9590089858,0,0,0,-649.8298312177,-175160.708206729,-4.9901808842,-5.0899208906,-5.6017884107,-8.1215797885,-7.2446561177,0,0,0,0
2006-05-13,0,407910.208742459,1161.8239097927,12.2155864505,4.71459820929717E-012,0,12.2155864505,3562.0171885379,0,0,0,0,-9.4558807167,0,0,0,-671.6230380125,-175172.923793179,-4.9922099692,-5.092334805,-5.6055234154,-8.1333862882,-7.2525128591,0,0,0,0
2006-05-14,0,409108.059949899,1197.8512074407,12.1400478382,3.08132201982519E-012,0,12.1400478382,3539.9904249014,0,0,0,0,-9.8867157983,0,0,0,-693.7715412767,-175185.063841018,-4.9942723204,-5.0947882946,-5.6093196544,-8.1453863515,-7.2604984091,0,0,0,0
2006-05-15,0,410274.263819002,1166.2038691023,12.0634946048,2.01386098419509E-012,0,12.0634946048,3517.6678017183,0,0,0,0,-10.2591285784,0,0,0,-716.2159040875,-175197.127335622,-4.9963623727,-5.0972747391,-5.6131668837,-8.1575475975,-7.2685912195,0,0,0,0
2006-05-16,0,411380.502820193,1106.2390011918,11.9861058818,1.3162000068702E-012,0,11.9861058818,3495.101553058,0,0,0,0,-10.5801427785,0,0,0,-738.9038923754,-175209.113441504,-4.9984752356,-5.0997883202,-5.617056101,-8.1698415693,-7.2767723536,0,0,0,0
2006-05-17,0,412482.803104348,1102.3002841544,11.9080383257,8.60229415873768E-013,0,11.9080383257,3472.3373593102,0,0,0,0,-10.8561554221,0,0,0,-761.7898257509,-175221.02147983,-5.0006066318,-5.1023239498,-5.6209794335,-8.1822433806,-7.2850252504,0,0,0,0
2006-05-18,0,413590.056338902,1107.2532345539,11.8294283486,5.62220516693479E-013,0,11.8294283486,3449.4149977137,0,0,0,0,-11.092933248,0,0,0,-784.8339269751,-175232.850908178,-5.0027528373,-5.1048771972,-5.6249300257,-8.1947313609,-7.2933354891,0,0,0,0
2006-05-19,0,414710.86876708,1120.8124281783,11.750394279,3.6745070972726E-013,0,11.750394279,3426.3689724194,0,0,0,0,-11.2956310153,0,0,0,-808.0016918971,-175244.601302457,-5.0049106213,-5.1074442191,-5.628901931,-8.2072867126,-7.3016905607,0,0,0,0
2006-05-20,0,415895.249517311,1184.3807502307,11.6710384047,2.40154921547766E-013,0,11.6710384047,3403.2291101312,0,0,0,0,-11.4688238835,0,0,0,-831.263293813,-175256.272340862,-5.0070771911,-5.1100216932,-5.6328900087,-8.2198931861,-7.3100796518,0,0,0,0
2006-05-21,0,416970.431321842,1075.1818045314,11.591448869,1.56958157425856E-013,0,11.591448869,3380.0211131005,0,0,0,0,-11.6165481617,0,0,0,-854.5930304713,-175267.863789731,-5.0092501404,-5.1126067566,-5.6368898292,-8.232536779,-7.3184934444,0,0,0,0
2006-05-22,0,417878.904641231,908.4733193886,11.511701407,1.02583211802386E-013,0,11.511701407,3356.7670653642,0,0,0,0,-11.7423463293,0,0,0,-877.9688178353,-175279.375491138,-5.0114274014,-5.1151969494,-5.6408975864,-8.2452054602,-7.3269239321,0,0,0,0
2006-05-23,0,418673.378181265,794.4735400347,11.4318609169,6.70453547383424E-014,0,11.4318609169,3333.4858910059,0,0,0,0,-11.8493134413,0,0,0,-901.3717318213,-175290.807352055,-5.0136072023,-5.1177901638,-5.6449100188,-8.2578889197,-7.3353642543,0,0,0,0
2006-05-24,0,419483.972756911,810.5945756455,11.3519828699,4.38188619074377E-014,0,11.3519828699,3310.1937651997,0,0,0,0,-11.9401429363,0,0,0,-924.7855972552,-175302.159334925,-5.0157880285,-5.120384598,-5.6489243387,-8.2705783456,-7.3438085467,0,0,0,0
2006-05-25,0,420383.403898437,899.4311415256,11.2721145648,2.86387127990691E-014,0,11.2721145648,3286.9044800965,0,0,0,0,-12.0171705384,0,0,0,-948.196621986,-175313.43144949,-5.0179685887,-5.1229787158,-5.6529381689,-8.2832662239,-7.3522518094,0,0,0,0
2006-05-26,0,421297.405819673,914.0019212363,11.1922962379,1.87174160871657E-014,0,11.1922962379,3263.6297684182,0,0,0,0,-12.0824154405,0,0,0,-971.5930732921,-175324.623745728,-5.0201477845,-5.1255712104,-5.6569494875,-8.2959461626,-7.3606897886,0,0,0,0
2006-05-27,0,422112.933317213,815.5274975404,11.1125620387,1.22331498429453E-014,0,11.1125620387,3240.3795880692,0,0,0,0,-12.1376183104,0,0,0,-994.9649932688,-175335.736307766,-5.0223246833,-5.1281609724,-5.6609565782,-8.3086127368,-7.3691188742,0,0,0,0
2006-05-28,0,422974.128922312,861.1956050983,11.0329408847,7.99522510922681E-015,0,11.0329408847,3217.1623712654,0,0,0,0,-12.1842759191,0,0,0,-1018.3039497003,-175346.769248651,-5.0244984959,-5.1307470628,-5.6649579877,-8.3212613527,-7.3775360093,0,0,0,0
